time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002726,-0.0156,0.0133,0.0127,0.024
0.003238,-0.0153,0.0181,0.0079,0.025
0.011212,0.0180,0.0181,-0.0159,0.030
0.014434,-0.0059,0.0038,0.0317,0.032
0.018264,-0.0249,-0.0008,0.0029,0.025
0.022988,0.0229,0.0040,-0.0066,0.024
0.028258,0.0036,-0.0007,-0.0018,0.004
0.032823,0.0036,0.0042,0.0077,0.010
0.042548,-0.0105,-0.0242,0.0172,0.032
0.043651,0.0133,0.0092,-0.0067,0.018
0.051091,0.0084,-0.0050,0.0028,0.010
0.052765,0.0036,0.0093,0.0123,0.016
0.058387,0.0272,0.0188,-0.0068,0.034
0.063189,0.0034,0.0091,0.0170,0.020
0.068216,0.0081,0.0090,-0.0021,0.012
0.073169,0.0127,0.0280,0.0216,0.038
0.078350,0.0222,-0.0007,-0.0308,0.038
0.082771,0.0126,-0.0006,0.0027,0.013
0.087917,-0.0256,0.0138,-0.0021,0.029
0.092953,-0.0016,0.0186,-0.0115,0.022
0.098726,0.0129,-0.0005,-0.0019,0.013
0.103047,-0.0205,-0.0005,0.0028,0.021
0.107630,0.0272,-0.0099,-0.0019,0.029
0.112879,0.0174,0.0093,-0.0067,0.021
0.117992,-0.0207,0.0140,-0.0066,0.026
0.129741,-0.0062,0.0140,-0.0018,0.015
0.130393,0.0128,0.0234,-0.0208,0.034
0.132643,-0.0015,-0.0005,0.0031,0.004
0.137832,-0.0063,0.0185,0.0079,0.021
0.142854,-0.0063,-0.0006,-0.0065,0.009
0.148712,-0.0062,0.0090,0.0221,0.025
0.152816,-0.0061,0.0090,-0.0018,0.011
0.157813,0.0223,0.0137,0.0029,0.026
0.163065,0.0079,-0.0053,-0.0113,0.015
0.167793,-0.0063,0.0328,-0.0017,0.033
0.173236,-0.0157,0.0326,-0.0160,0.040
0.177696,0.0129,-0.0150,-0.0016,0.020
0.184102,-0.0061,0.0043,0.0269,0.028
0.190406,0.0130,0.0043,-0.0113,0.018
0.192751,-0.0013,-0.0004,0.0078,0.008
0.198561,0.0129,0.0375,0.0125,0.042
0.202799,-0.0061,0.0182,0.0029,0.019
0.207579,0.0271,0.0039,-0.0209,0.034
0.213213,-0.0016,0.0134,-0.0065,0.015
0.217755,-0.0207,0.0181,-0.0017,0.028
0.229730,0.0128,-0.0009,-0.0064,0.014
0.230354,-0.0064,0.0229,-0.0158,0.029
0.232495,-0.0111,-0.0009,-0.0015,0.011
0.237875,-0.0159,0.0086,-0.0062,0.019
0.242854,-0.0063,0.0275,0.0034,0.028
0.248504,-0.0016,0.0132,0.0033,0.014
0.252526,-0.0205,-0.0154,0.0033,0.026
0.257622,0.0177,0.0275,0.0128,0.035
0.263251,0.0224,0.0178,-0.0063,0.029
0.267701,-0.0205,0.0035,-0.0158,0.026
0.273322,0.0081,0.0036,-0.0061,0.011
0.277584,-0.0060,-0.0012,-0.0156,0.017
0.282660,-0.0107,0.0227,-0.0060,0.026
0.287576,0.0225,0.0130,0.0178,0.032
0.292543,0.0034,0.0035,-0.0203,0.021
0.298537,0.0033,0.0178,-0.0439,0.047
0.302598,-0.0111,0.0083,0.0135,0.019
0.307365,0.0080,-0.0059,-0.0151,0.018
0.312387,-0.0064,0.0226,0.0087,0.025
0.317864,-0.0062,0.0083,0.0134,0.017
0.329618,0.0128,-0.0060,-0.0009,0.014
0.330421,0.0081,0.0036,0.0086,0.012
0.332469,-0.0061,0.0273,-0.0010,0.028
0.337538,-0.0109,0.0081,-0.0105,0.017
0.343491,0.0082,0.0081,0.0086,0.014
0.348959,-0.0014,-0.0110,-0.0105,0.015
0.352367,-0.0062,0.0034,-0.0151,0.017
0.357415,0.0034,0.0131,-0.0103,0.017
0.362862,0.0081,0.0130,-0.0149,0.021
0.367448,-0.0014,-0.0154,-0.0290,0.033
0.372295,-0.0014,-0.0105,-0.0003,0.011
0.377289,0.0032,0.0088,-0.0145,0.017
0.382403,0.0080,0.0135,0.0093,0.018
0.387246,0.0079,0.0229,-0.0145,0.028
0.392565,0.0030,0.0227,-0.0049,0.023
0.398865,-0.0018,0.0131,-0.0143,0.019
0.402467,0.0124,-0.0012,0.0048,0.013
0.407344,0.0029,-0.0106,0.0095,0.015
0.412197,-0.0067,0.0179,-0.0048,0.020
0.417495,-0.0018,-0.0107,-0.0095,0.014
0.429710,-0.0207,0.0133,0.0095,0.026
0.430519,-0.0015,0.0179,0.0095,0.020
0.432165,0.0128,0.0083,0.0141,0.021
0.437209,0.0080,0.0131,0.0235,0.028
0.443942,0.0033,0.0084,-0.0004,0.009
0.447148,-0.0204,-0.0106,-0.0289,0.037
0.452284,0.0082,0.0133,-0.0002,0.016
0.456964,0.0083,-0.0009,-0.0239,0.025
0.462170,0.0130,0.0134,-0.0047,0.019
0.467113,-0.0107,0.0133,0.0001,0.017
0.472292,0.0226,0.0227,0.0048,0.032
0.477248,0.0130,0.0131,0.0000,0.018
0.482177,0.0225,0.0034,0.0143,0.027
0.487076,-0.0156,-0.0203,0.0047,0.026
0.492080,0.0035,0.0369,-0.0049,0.037
0.497050,0.0083,-0.0013,0.0094,0.013
0.502358,0.0034,-0.0013,-0.0002,0.004
0.507263,-0.0203,0.0272,0.0093,0.035
0.512208,0.0227,0.0176,-0.0050,0.029
0.517178,0.0130,0.0223,-0.0049,0.026
0.523830,0.0082,0.0173,-0.0144,0.024
0.527095,-0.0015,0.0173,-0.0190,0.026
0.538445,0.0081,-0.0113,0.0286,0.032
0.539215,-0.0014,0.0079,-0.0096,0.012
0.542101,-0.0061,0.0080,-0.0143,0.017
0.547083,0.0083,0.0222,-0.0141,0.028
0.553173,-0.0060,0.0220,0.0050,0.023
0.558820,-0.0058,0.0029,-0.0046,0.008
0.562235,-0.0200,0.0029,-0.0140,0.025
0.566916,-0.0008,0.0172,-0.0044,0.018
0.572157,0.0134,-0.0019,-0.0139,0.019
0.576912,0.0133,-0.0018,0.0053,0.014
0.582532,0.0038,0.0030,0.0052,0.007
0.587005,0.0086,0.0077,0.0242,0.027
0.591930,-0.0105,0.0171,0.0002,0.020
0.597232,0.0038,-0.0021,0.0002,0.004
0.602053,-0.0153,0.0076,-0.0093,0.019
0.607446,-0.0010,0.0124,-0.0234,0.027
0.611957,-0.0105,0.0171,-0.0233,0.031
0.616820,0.0133,-0.0210,-0.0183,0.031
0.622325,0.0084,-0.0112,0.0008,0.014
0.626823,-0.0155,0.0174,0.0056,0.024
0.638996,0.0036,0.0124,0.0055,0.014
0.639766,0.0036,-0.0019,-0.0325,0.033
0.641678,-0.0060,0.0124,-0.0227,0.027
0.646792,-0.0059,0.0124,0.0012,0.014
0.652417,-0.0202,-0.0066,-0.0226,0.031
0.658913,0.0274,-0.0018,0.0061,0.028
0.662101,0.0034,0.0220,-0.0224,0.032
0.666823,0.0177,0.0028,0.0205,0.027
0.671822,-0.0110,0.0077,0.0346,0.037
0.676798,-0.0062,0.0124,0.0153,0.021
0.682795,0.0176,0.0266,0.0199,0.038
0.686735,0.0175,-0.0210,0.0008,0.027
0.691694,0.0033,-0.0113,0.0198,0.023
0.696967,-0.0061,0.0126,-0.0136,0.020
0.701782,0.0081,0.0078,0.0055,0.013
0.706629,0.0080,0.0078,0.0054,0.012
0.711707,0.0175,0.0173,0.0149,0.029
0.716620,0.0267,0.0030,0.0100,0.029
0.721986,-0.0067,-0.0113,0.0004,0.013
0.726806,-0.0020,-0.0017,0.0242,0.024
0.731761,0.0028,0.0221,0.0002,0.022
0.739817,-0.0020,0.0076,-0.0140,0.016
0.742047,-0.0115,0.0076,0.0098,0.017
0.746939,0.0077,0.0218,0.0145,0.027
0.753750,0.0077,0.0169,0.0049,0.019
0.759848,0.0076,0.0263,0.0096,0.029
0.762001,-0.0209,0.0119,0.0143,0.028
0.766668,-0.0017,0.0118,0.0141,0.018
0.771543,-0.0159,0.0165,0.0235,0.033
0.776572,0.0035,-0.0120,0.0186,0.022
0.781847,-0.0060,0.0071,-0.0053,0.011
0.787384,0.0035,-0.0166,-0.0005,0.017
0.791740,-0.0250,0.0026,-0.0148,0.029
0.796662,0.0133,-0.0068,-0.0004,0.015
0.801813,0.0037,-0.0067,0.0044,0.009
0.807042,0.0037,-0.0208,-0.0099,0.023
0.811746,0.0084,-0.0111,0.0187,0.023
0.816788,0.0180,-0.0014,0.0138,0.023
0.821708,0.0132,0.0034,0.0041,0.014
0.826566,-0.0107,0.0129,-0.0006,0.017
0.831590,-0.0105,-0.0061,-0.0054,0.013
0.836446,0.0085,0.0082,-0.0053,0.013
0.845673,0.0131,-0.0013,0.0090,0.016
0.846386,0.0036,-0.0013,-0.0149,0.015
0.851364,0.0084,-0.0251,0.0043,0.027
0.857893,-0.0106,-0.0153,-0.0100,0.021
0.861857,-0.0057,-0.0151,-0.0099,0.019
0.866537,0.0086,0.0041,-0.0051,0.011
0.871264,-0.0058,0.0089,0.0234,0.026
0.876360,-0.0011,0.0279,0.0137,0.031
0.881636,-0.0011,-0.0009,0.0089,0.009
0.886433,0.0131,0.0086,0.0041,0.016
0.891427,-0.0013,0.0133,-0.0007,0.013
0.896231,-0.0108,0.0037,0.0325,0.034
0.901275,0.0130,0.0084,-0.0105,0.019
